time,power1,TV,washing_drying,kitchen appliances,fridge,heating
2023-01-01 00:00,35,0,0,0,0,4
2023-01-01 01:00,165,0,0,0,1,103
2023-01-01 02:00,869,14,0,371,25,343
2023-01-01 03:00,422,14,0,0,21,347
2023-01-01 04:00,328,12,0,0,0,295
2023-01-01 05:00,184,12,0,0,2,130
2023-01-01 06:00,591,13,0,0,25,535
2023-01-01 07:00,588,2,0,0,17,549
2023-01-01 08:00,330,2,0,0,0,289
2023-01-01 09:00,321,3,0,0,0,294
2023-01-01 10:00,113,3,0,0,25,59
2023-01-01 11:00,146,2,0,0,13,98
2023-01-01 12:00,143,2,0,0,0,100
2023-01-01 13:00,172,18,0,0,0,96
2023-01-01 14:00,172,3,0,0,26,99
2023-01-01 15:00,402,2,0,0,17,351
2023-01-01 16:00,91,2,0,0,0,51
2023-01-01 17:00,59,2,0,0,0,3
2023-01-01 18:00,204,18,0,53,24,3
2023-01-01 19:00,95,17,20,0,25,2
2023-01-01 20:00,70,16,0,0,0,3
2023-01-01 21:00,94,2,0,0,0,60
2023-01-01 22:00,161,2,0,0,23,104
2023-01-01 23:00,116,3,0,0,25,47
2023-01-02 00:00,91,3,0,0,0,29
2023-01-02 01:00,209,16,0,11,0,100
2023-01-02 02:00,643,2,0,0,15,564
2023-01-02 03:00,650,2,0,0,26,575
2023-01-02 04:00,536,9,0,0,1,484
2023-01-02 05:00,471,2,0,0,0,445
2023-01-02 06:00,137,2,0,0,10,101
2023-01-02 07:00,166,2,0,0,26,102
2023-01-02 08:00,75,3,0,0,4,40
2023-01-02 09:00,76,2,0,0,0,45
2023-01-02 10:00,96,2,0,0,11,41
2023-01-02 11:00,87,2,0,0,26,34
2023-01-02 12:00,65,17,0,0,0,19
2023-01-02 13:00,544,17,0,0,0,484
2023-01-02 14:00,973,2,0,0,4,583
2023-01-02 15:00,860,0,0,0,26,357
2023-01-02 16:00,147,0,0,0,15,101
2023-01-02 17:00,334,15,0,184,0,101
2023-01-02 18:00,65,14,0,0,0,3
2023-01-02 19:00,91,11,0,0,25,3
2023-01-02 20:00,186,12,0,0,26,99
2023-01-02 21:00,156,0,0,0,0,92
2023-01-02 22:00,124,0,0,0,0,90
2023-01-02 23:00,148,0,0,0,25,92
2023-01-03 00:00,193,4,0,0,25,95
2023-01-03 01:00,198,13,0,26,0,95
2023-01-03 02:00,649,24,0,0,0,571
2023-01-03 03:00,693,23,0,0,25,582
2023-01-03 04:00,684,23,0,0,25,590
2023-01-03 05:00,538,11,0,0,0,501
2023-01-03 06:00,557,11,0,0,0,506
2023-01-03 07:00,313,11,0,0,19,245
2023-01-03 08:00,293,0,0,0,26,246
2023-01-03 09:00,287,0,0,0,0,248
2023-01-03 10:00,279,0,0,0,0,249
2023-01-03 11:00,291,0,0,0,10,251
2023-01-03 12:00,323,0,0,0,25,265
2023-01-03 13:00,306,14,0,0,0,255
2023-01-03 14:00,310,0,0,0,0,259
2023-01-03 15:00,401,0,0,0,6,102
2023-01-03 16:00,73,0,0,0,26,2
2023-01-03 17:00,361,0,0,0,25,3
2023-01-03 18:00,471,14,0,255,0,3
2023-01-03 19:00,80,9,0,0,0,3
2023-01-03 20:00,83,10,0,0,17,3
2023-01-03 21:00,128,11,0,0,26,44
2023-01-03 22:00,152,0,0,0,2,104
2023-01-03 23:00,329,0,0,0,0,303
2023-01-04 00:00,454,14,0,0,0,356
2023-01-04 01:00,483,13,0,0,25,345
2023-01-04 02:00,497,13,59,0,19,347
2023-01-04 03:00,194,11,42,0,0,96
2023-01-04 04:00,126,0,0,0,0,98
2023-01-04 05:00,162,0,0,0,17,99
2023-01-04 06:00,232,0,0,0,25,181
2023-01-04 07:00,360,0,0,0,0,338
2023-01-04 08:00,541,0,0,0,0,498
2023-01-04 09:00,639,0,0,0,20,580
2023-01-04 10:00,635,0,0,0,25,587
2023-01-04 11:00,182,0,0,0,0,149
2023-01-04 12:00,48,0,0,0,0,2
2023-01-04 13:00,40,0,0,0,14,3
2023-01-04 14:00,55,0,0,0,26,3
2023-01-04 15:00,46,0,0,0,3,2
2023-01-04 16:00,294,0,0,0,0,258
2023-01-04 17:00,453,9,180,0,5,230
2023-01-04 18:00,459,14,0,50,25,332
2023-01-04 19:00,61,0,0,0,16,3
2023-01-04 20:00,33,0,0,0,0,3
2023-01-04 21:00,39,0,0,0,0,2
2023-01-04 22:00,74,0,0,0,25,3
2023-01-04 23:00,183,13,0,0,26,95
2023-01-05 00:00,563,13,0,163,0,338
2023-01-05 01:00,443,13,0,0,0,351
2023-01-05 02:00,413,7,0,0,23,350
2023-01-05 03:00,415,2,0,0,25,354
2023-01-05 04:00,373,2,0,0,1,324
2023-01-05 05:00,354,2,0,0,0,319
2023-01-05 06:00,364,3,0,0,5,327
2023-01-05 07:00,395,3,0,0,26,333
2023-01-05 08:00,635,2,0,0,11,586
2023-01-05 09:00,291,2,0,0,0,258
2023-01-05 10:00,302,2,0,0,0,259
2023-01-05 11:00,329,3,0,0,25,259
2023-01-05 12:00,50,2,0,0,17,2
2023-01-05 13:00,39,2,0,0,0,3
2023-01-05 14:00,277,2,0,0,0,232
2023-01-05 15:00,548,3,0,0,25,493
2023-01-05 16:00,544,3,0,0,25,484
2023-01-05 17:00,988,2,300,91,0,500
2023-01-05 18:00,407,20,245,0,0,103
2023-01-05 19:00,141,2,0,0,9,101
2023-01-05 20:00,178,2,0,0,25,101
2023-01-05 21:00,45,2,0,0,7,2
2023-01-05 22:00,132,3,0,0,0,100
2023-01-05 23:00,116,3,0,0,0,65
2023-01-06 00:00,626,15,0,164,25,356
2023-01-06 01:00,361,16,0,0,19,264
2023-01-06 02:00,563,2,0,0,0,477
2023-01-06 03:00,644,10,0,0,0,580
2023-01-06 04:00,641,10,0,0,25,583
2023-01-06 05:00,598,2,0,0,25,544
2023-01-06 06:00,553,2,0,0,0,513
2023-01-06 07:00,525,2,0,0,0,494
2023-01-06 08:00,884,2,0,0,10,495
2023-01-06 09:00,570,3,0,0,26,506
2023-01-06 10:00,303,3,0,0,11,268
2023-01-06 11:00,309,2,0,0,0,272
2023-01-06 12:00,393,0,0,0,0,369
2023-01-06 13:00,153,0,0,0,25,101
2023-01-06 14:00,64,0,0,0,25,3
2023-01-06 15:00,29,0,0,0,0,3
2023-01-06 16:00,41,0,0,0,0,3
2023-01-06 17:00,57,0,0,0,11,2
2023-01-06 18:00,388,0,0,181,26,106
2023-01-06 19:00,70,0,0,0,9,2
2023-01-06 20:00,174,0,0,0,0,98
2023-01-06 21:00,246,0,0,122,0,86
2023-01-06 22:00,495,0,0,60,24,305
2023-01-06 23:00,476,0,0,62,25,307
2023-01-07 00:00,559,14,0,190,0,313
2023-01-07 01:00,419,14,0,0,0,333
2023-01-07 02:00,393,11,0,0,11,337
2023-01-07 03:00,404,2,0,0,26,340
2023-01-07 04:00,397,3,0,0,25,345
2023-01-07 05:00,123,2,0,0,2,93
2023-01-07 06:00,136,2,0,0,0,95
2023-01-07 07:00,361,2,0,0,16,316
2023-01-07 08:00,380,3,0,0,25,321
2023-01-07 09:00,606,2,0,0,3,570
2023-01-07 10:00,614,2,0,0,0,588
2023-01-07 11:00,528,2,0,0,0,497
2023-01-07 12:00,342,0,0,0,25,286
2023-01-07 13:00,169,0,0,0,25,93
2023-01-07 14:00,97,0,0,0,0,66
2023-01-07 15:00,125,0,0,0,0,86
2023-01-07 16:00,115,0,0,0,0,78
2023-01-07 17:00,68,14,0,0,25,3
2023-01-07 18:00,563,14,0,467,25,3
2023-01-07 19:00,497,14,0,411,0,3
2023-01-07 20:00,170,14,0,4,0,99
2023-01-07 21:00,137,0,0,0,13,97
2023-01-07 22:00,158,0,0,0,25,98
2023-01-07 23:00,148,0,0,0,11,99
2023-01-08 00:00,32,0,0,0,0,3
2023-01-08 01:00,173,0,0,0,0,100
2023-01-08 02:00,190,0,0,0,25,97
2023-01-08 03:00,187,0,0,0,26,100
2023-01-08 04:00,72,11,0,0,25,3
2023-01-08 05:00,284,11,0,0,0,252
2023-01-08 06:00,544,11,0,0,24,473
2023-01-08 07:00,518,2,0,0,14,474
2023-01-08 08:00,970,2,0,0,25,480
2023-01-08 09:00,268,3,0,0,0,234
2023-01-08 10:00,58,2,0,0,25,2
2023-01-08 11:00,54,2,0,0,0,3
2023-01-08 12:00,83,2,0,0,24,15
2023-01-08 13:00,161,0,0,0,8,98
2023-01-08 14:00,337,0,0,0,18,292
2023-01-08 15:00,372,0,0,0,25,317
2023-01-08 16:00,361,0,0,0,0,325
2023-01-08 17:00,154,0,0,0,25,98
2023-01-08 18:00,168,0,0,0,25,99
2023-01-08 19:00,80,0,0,0,6,44
2023-01-08 20:00,153,0,0,0,24,103
2023-01-08 21:00,137,0,0,0,0,100
2023-01-08 22:00,53,0,0,0,24,3
2023-01-08 23:00,68,0,0,0,26,2
2023-01-09 00:00,217,12,0,0,4,101
2023-01-09 01:00,344,14,0,177,8,96
2023-01-09 02:00,177,11,0,0,25,99
2023-01-09 03:00,173,13,0,0,25,101
2023-01-09 04:00,57,13,0,0,1,3
2023-01-09 05:00,37,0,0,0,0,3
2023-01-09 06:00,26,0,0,0,0,2
2023-01-09 07:00,70,0,0,0,25,3
2023-01-09 08:00,57,0,0,0,26,3
2023-01-09 09:00,58,0,0,0,16,3
2023-01-09 10:00,51,0,0,0,0,3
2023-01-09 11:00,283,0,0,0,0,253
2023-01-09 12:00,530,0,0,0,24,474
2023-01-09 13:00,447,6,0,0,26,344
2023-01-09 14:00,819,13,0,481,0,256
2023-01-09 15:00,158,13,0,0,0,103
2023-01-09 16:00,363,0,0,304,10,23
2023-01-09 17:00,164,0,0,0,25,102
2023-01-09 18:00,320,15,0,166,22,71
2023-01-09 19:00,146,14,0,5,0,37
2023-01-09 20:00,442,0,0,0,0,100
2023-01-09 21:00,184,0,0,0,24,102
