time,power1,Appliance1,Appliance2,Appliance3,Appliance8
2013-09-17 23:00,60,1,0,0,0
2013-09-18 0:00,60,1,0,0,0
2013-09-18 1:00,62,1,0,0,0
2013-09-18 2:00,145,86,0,0,0
2013-09-18 3:00,60,1,0,0,0
2013-09-18 4:00,60,1,0,0,0
2013-09-18 5:00,146,87,0,0,0
2013-09-18 6:00,62,1,0,0,0
2013-09-18 7:00,125,1,0,0,0
2013-09-18 8:00,172,86,0,0,0
2013-09-18 9:00,66,1,0,0,0
2013-09-18 10:00,63,1,0,0,0
2013-09-18 11:00,147,88,0,0,0
2013-09-18 12:00,62,1,0,0,0
2013-09-18 13:00,190,82,0,5,0
2013-09-18 15:00,69,1,0,0,0
2013-09-18 16:00,3111,108,0,0,2659
2013-09-18 17:00,142,1,0,0,0
2013-09-18 18:00,365,85,0,0,0
2013-09-18 19:00,191,1,0,0,0
2013-09-18 20:00,173,1,0,0,0
2013-09-18 21:00,267,1,0,0,0
2013-09-18 22:00,270,83,0,0,0
2013-09-18 23:00,265,89,0,0,0
2013-09-19 0:00,62,1,0,0,0
2013-09-19 1:00,62,1,0,0,0
2013-09-19 2:00,145,89,0,0,0
2013-09-19 3:00,60,1,0,0,0
2013-09-19 4:00,142,81,0,0,0
2013-09-19 5:00,185,1,0,0,0
2013-09-19 6:00,155,1,0,0,0
2013-09-19 7:00,201,86,0,0,0
2013-09-19 8:00,153,1,0,0,0
2013-09-19 9:00,168,83,0,0,0
2013-09-19 10:00,60,1,0,0,0
2013-09-19 11:00,62,1,0,0,0
2013-09-19 12:00,145,88,0,0,0
2013-09-19 13:00,124,1,0,71,0
2013-09-19 14:00,210,99,0,28,0
2013-09-19 15:00,63,1,0,0,0
2013-09-19 16:00,249,82,0,0,0
2013-09-19 17:00,62,1,0,0,0
2013-09-19 18:00,112,1,0,0,0
2013-09-19 19:00,344,87,0,0,0
2013-09-19 20:00,315,100,0,0,0
2013-09-19 21:00,266,82,0,0,0
2013-09-19 22:00,134,1,0,0,0
2013-09-19 23:00,85,1,0,0,0
2013-09-20 0:00,151,88,0,0,0
2013-09-20 1:00,66,1,0,0,0
2013-09-20 2:00,144,83,0,0,0
2013-09-20 3:00,63,1,0,0,0
2013-09-20 4:00,63,1,0,0,0
2013-09-20 5:00,64,1,0,0,0
2013-09-20 6:00,63,1,0,0,0
2013-09-20 7:00,251,1,0,0,0
2013-09-20 8:00,2486,88,1972,0,0
2013-09-20 9:00,107,1,19,0,0
2013-09-20 10:00,63,1,0,0,0
2013-09-20 11:00,146,90,0,0,0
2013-09-20 12:00,69,1,0,0,0
2013-09-20 13:00,66,1,0,0,0
2013-09-20 14:00,184,84,0,0,0
2013-09-20 15:00,171,82,0,0,0
2013-09-20 16:00,316,87,0,64,0
2013-09-20 17:00,2401,1,0,2220,0
2013-09-20 18:00,225,1,0,0,0
2013-09-20 19:00,207,1,0,0,0
2013-09-20 20:00,383,163,0,0,0
2013-09-20 21:00,252,1,0,0,0
2013-09-20 22:00,264,86,0,0,0
2013-09-20 23:00,155,1,0,0,0
2013-09-21 0:00,60,1,0,0,0
2013-09-21 1:00,142,83,0,0,0
2013-09-21 2:00,60,1,0,0,0
2013-09-21 3:00,60,1,0,0,0
2013-09-21 4:00,140,82,0,0,0
2013-09-21 5:00,80,1,0,0,0
2013-09-21 6:00,63,1,0,0,0
2013-09-21 7:00,370,85,0,0,0
2013-09-21 8:00,231,86,0,0,0
2013-09-21 9:00,10157,1,0,0,0
2013-09-21 10:00,66,1,0,0,0
2013-09-21 11:00,62,1,0,0,0
2013-09-21 12:00,144,87,0,0,0
2013-09-21 13:00,62,1,0,0,0
2013-09-21 14:00,62,1,0,0,0
2013-09-21 15:00,144,89,0,0,0
2013-09-21 16:00,62,1,0,0,0
2013-09-21 17:00,142,83,0,0,0
2013-09-21 18:00,196,85,0,0,0
2013-09-21 19:00,2497,90,0,2252,0
2013-09-21 20:00,322,1,0,72,0
2013-09-21 21:00,234,84,0,0,0
2013-09-21 22:00,68,1,0,0,0
2013-09-21 23:00,145,82,0,0,0
2013-09-22 0:00,60,1,0,0,0
2013-09-22 1:00,200,167,0,0,0
2013-09-22 2:00,150,99,0,0,0
