House,Model,Appliance,Time,MAE,MAPE,RMSE,MSE,FECA
0,LDA_HP,Appliance1,6.78028130531311,0.256,16.79999999999876,0.6572670690061994,0.432,0.11111111111111116
0,LDA_STHP,Appliance1,27.199366569519043,0.212,13.799999999998992,0.6,0.36,0.26388888888888884
0,LDA_SKANTHP,Appliance1,26.257107496261597,0.204,12.999999999999071,0.593295878967653,0.352,0.29166666666666663
0,LNDA_HP,Appliance1,16.56437921524048,0.176,11.199999999999202,0.5513619500836089,0.304,0.38888888888888884
0,LNDA_STHP,Appliance1,42.39210653305054,0.116,7.59999999999944,0.4427188724235731,0.196,0.5972222222222222
0,LNDA_SKANTHP,Appliance1,42.37637758255005,0.096,6.39999999999952,0.4,0.16,0.6666666666666667
0,LDA_HP,Appliance2,6.78028130531311,0.268,26.199999999997413,0.5291502622129182,0.28,0.10067114093959728
0,LDA_STHP,Appliance2,27.199366569519043,0.238,23.19999999999771,0.5,0.25,0.20134228187919467
0,LDA_SKANTHP,Appliance2,26.257107496261597,0.21,20.199999999998024,0.4753945729601885,0.226,0.2953020134228188
0,LNDA_HP,Appliance2,16.56437921524048,0.206,19.999999999998032,0.4669047011971501,0.218,0.3087248322147651
0,LNDA_STHP,Appliance2,42.39210653305054,0.134,13.199999999998694,0.3714835124201342,0.138,0.5503355704697986
0,LNDA_SKANTHP,Appliance2,42.37637758255005,0.104,10.19999999999899,0.3286335345030997,0.108,0.651006711409396
0,LDA_HP,Appliance3,6.78028130531311,0.332,32.79999999999675,0.5830951894845301,0.34,0.10752688172043012
0,LDA_STHP,Appliance3,27.199366569519043,0.31,30.599999999996964,0.5639148871948674,0.318,0.16666666666666663
0,LDA_SKANTHP,Appliance3,26.257107496261597,0.2,19.999999999998007,0.4472135954999579,0.2,0.4623655913978495
0,LNDA_HP,Appliance3,16.56437921524048,0.216,21.399999999997867,0.469041575982343,0.22,0.4193548387096774
0,LNDA_STHP,Appliance3,42.39210653305054,0.144,13.999999999998625,0.38987177379235854,0.152,0.6129032258064516
0,LNDA_SKANTHP,Appliance3,42.37637758255005,0.108,10.599999999998952,0.3346640106136302,0.112,0.7096774193548387
0,LDA_HP,Appliance4,6.78028130531311,0.094,8.399999999999212,0.33763886032268264,0.114,0.12962962962962965
0,LDA_STHP,Appliance4,27.199366569519043,0.092,8.399999999999201,0.3286335345030997,0.108,0.14814814814814814
0,LDA_SKANTHP,Appliance4,26.257107496261597,0.06,5.199999999999521,0.27568097504180444,0.076,0.4444444444444444
0,LNDA_HP,Appliance4,16.56437921524048,0.054,4.99999999999952,0.24899799195977465,0.062,0.5
0,LNDA_STHP,Appliance4,42.39210653305054,0.052,4.799999999999541,0.2449489742783178,0.06,0.5185185185185186
0,LNDA_SKANTHP,Appliance4,42.37637758255005,0.034,3.1999999999996898,0.19493588689617927,0.038,0.6851851851851851
1,LDA_HP,Appliance1,6.78028130531311,0.37,35.999999999996454,0.6244997998398398,0.39,0.12735849056603776
1,LDA_STHP,Appliance1,27.199366569519043,0.312,30.199999999997036,0.5761944116355173,0.332,0.26415094339622647
1,LDA_SKANTHP,Appliance1,26.257107496261597,0.246,24.1999999999976,0.5039841267341661,0.254,0.41981132075471694
