time,power1,fridge,washer,dishwasher
2013-05-20 22:00,17393,16156,964,273
2013-05-20 23:00,25740,23451,1814,475
2013-05-21 00:00,26322,24033,1790,499
2013-05-21 01:00,30143,27857,1799,487
2013-05-21 02:00,20882,18575,1806,501
2013-05-21 03:00,33054,30763,1810,481
2013-05-21 04:00,20561,18266,1814,481
2013-05-21 05:00,28447,26229,1793,425
2013-05-21 06:00,25906,23633,1794,479
2013-05-21 07:00,22743,20508,1792,443
2013-05-21 08:00,28983,26791,1773,419
2013-05-21 09:00,20976,18713,1799,464
2013-05-21 10:00,31389,29076,1809,504
2013-05-21 11:00,18653,16684,1552,417
2013-05-21 12:00,29097,26804,1814,479
2013-05-21 13:00,21332,19038,1803,491
2013-05-21 14:00,24979,22691,1798,490
2013-05-21 15:00,25478,23216,1806,456
2013-05-21 16:00,19822,17551,1797,474
2013-05-21 17:00,30362,28137,1779,446
2013-05-21 18:00,22442,20156,1791,495
2013-05-21 19:00,31490,29263,1783,444
2013-05-21 20:00,447814,17740,1802,428272
2013-05-21 21:00,337952,28447,1824,307681
2013-05-21 22:00,20312,18387,1818,107
2013-05-21 23:00,31697,29402,1797,498
2013-05-22 00:00,22248,19936,1810,502
2013-05-22 01:00,28739,26513,1770,456
2013-05-22 02:00,19307,17068,1772,467
2013-05-22 03:00,30551,27580,1774,1197
2013-05-22 04:00,19053,16818,1776,459
2013-05-22 05:00,31187,28952,1786,449
2013-05-22 06:00,20470,18203,1780,487
2013-05-22 07:00,28903,26663,1777,463
2013-05-22 08:00,21182,18962,1764,456
2013-05-22 09:00,26308,24072,1777,459
2013-05-22 10:00,23380,21079,1812,489
2013-05-22 11:00,25091,22815,1796,480
2013-05-22 12:00,23570,21281,1804,485
2013-05-22 13:00,25906,23619,1799,488
2013-05-22 14:00,24708,22400,1819,489
2013-05-22 15:00,21576,19305,1794,477
2013-05-22 16:00,26723,24434,1799,490
2013-05-22 17:00,19750,17432,1829,489
2013-05-22 18:00,31995,29697,1801,497
2013-05-22 19:00,20116,17845,1792,479
2013-05-22 20:00,519910,34779,1820,483311
2013-05-22 21:00,298210,21080,1818,275312
2013-05-22 22:00,30841,28763,1814,264
2013-05-22 23:00,21594,19287,1794,513
2013-05-23 00:00,30444,28124,1815,505
2013-05-23 01:00,23889,21567,1813,509
2013-05-23 02:00,26269,23954,1799,516
2013-05-23 03:00,25056,22804,1774,478
2013-05-23 04:00,25243,22980,1775,488
2013-05-23 05:00,21055,18844,1763,448
2013-05-23 06:00,26241,23983,1775,483
2013-05-23 07:00,22965,20736,1759,470
2013-05-23 08:00,25702,23453,1776,473
2013-05-23 09:00,20968,18704,1777,487
2013-05-23 10:00,27076,24792,1784,500
2013-05-23 11:00,20690,18421,1789,480
2013-05-23 12:00,29272,26968,1815,489
2013-05-23 13:00,18660,16377,1782,501
2013-05-23 14:00,30844,28548,1802,494
2013-05-23 15:00,20493,18228,1777,488
2013-05-23 16:00,28304,26034,1778,492
2013-05-23 17:00,21713,19443,1781,489
2013-05-23 18:00,24984,22728,1781,475
2013-05-23 19:00,24138,21913,1758,467
2013-05-23 20:00,22949,20720,1767,462
2013-05-23 21:00,181393,23985,1775,155633
2013-05-23 22:00,578423,19373,1802,557248
2013-05-23 23:00,27260,25073,1786,401
