House,Model,Appliance,Time,MAE,MAPE,RMSE,MSE,FECA
0,LDA_HP,fridge,6.735331773757935,0.35,29.999999999997257,0.6708203932499369,0.45,0.08854166666666663
0,LDA_STHP,fridge,28.50164222717285,0.296,25.599999999997642,0.6131883886702356,0.376,0.22916666666666663
0,LDA_SKANTHP,fridge,26.366252660751343,0.276,23.599999999997838,0.5966573556070519,0.356,0.28125
0,LNDA_HP,fridge,15.909801483154297,0.22,19.999999999998103,0.5099019513592785,0.26,0.42708333333333337
0,LNDA_STHP,fridge,41.59375619888306,0.152,13.199999999998779,0.4381780460041329,0.192,0.6041666666666667
0,LNDA_SKANTHP,fridge,41.390647649765015,0.134,12.199999999998841,0.39749213828703583,0.158,0.6510416666666667
0,LDA_HP,washer,6.735331773757935,0.886,88.3999999999912,0.9433981132056604,0.89,0.09221311475409832
0,LDA_STHP,washer,28.50164222717285,0.754,75.39999999999249,0.8683317338436964,0.754,0.22745901639344257
0,LDA_SKANTHP,washer,26.366252660751343,0.568,56.59999999999437,0.7563068160475614,0.572,0.4180327868852459
0,LNDA_HP,washer,15.909801483154297,0.69,68.79999999999316,0.8330666239863411,0.694,0.2930327868852459
0,LNDA_STHP,washer,41.59375619888306,0.456,45.599999999995454,0.6752777206453653,0.456,0.5327868852459017
0,LNDA_SKANTHP,washer,41.390647649765015,0.352,34.99999999999652,0.5966573556070519,0.356,0.639344262295082
0,LDA_HP,dishwasher,6.735331773757935,0.036,2.3999999999998205,0.2449489742783178,0.06,0.0
0,LDA_STHP,dishwasher,28.50164222717285,0.028,1.9999999999998401,0.20976176963403032,0.044,0.2222222222222222
0,LDA_SKANTHP,dishwasher,26.366252660751343,0.012,0.79999999999994,0.1414213562373095,0.02,0.6666666666666667
0,LNDA_HP,dishwasher,15.909801483154297,0.026,1.79999999999986,0.20493901531919198,0.042,0.2777777777777778
0,LNDA_STHP,dishwasher,41.59375619888306,0.01,0.59999999999996,0.1341640786499874,0.018,0.7222222222222222
0,LNDA_SKANTHP,dishwasher,41.390647649765015,0.01,0.7999999999999301,0.11832159566199232,0.014,0.7222222222222222
1,LDA_HP,fridge,6.735331773757935,1.322,85.99999999999372,1.4986660735467392,2.246,0.10796221322537114
1,LDA_STHP,fridge,28.50164222717285,1.204,78.1999999999943,1.4310835055998654,2.048,0.18758434547908232
1,LDA_SKANTHP,fridge,26.366252660751343,0.722,47.3999999999965,1.1036303729057115,1.218,0.5128205128205128
1,LNDA_HP,fridge,15.909801483154297,0.734,47.799999999996515,1.116243700990066,1.246,0.50472334682861
1,LNDA_STHP,fridge,41.59375619888306,0.598,38.5999999999972,1.010940156488009,1.022,0.5964912280701755
1,LNDA_SKANTHP,fridge,41.390647649765015,0.47,30.79999999999773,0.8910667763978186,0.794,0.6828609986504723
1,LDA_HP,washer,6.735331773757935,0.086,6.799999999999411,0.3492849839314596,0.122,0.14
1,LDA_STHP,washer,28.50164222717285,0.086,6.799999999999411,0.3492849839314596,0.122,0.14
1,LDA_SKANTHP,washer,26.366252660751343,0.062,5.19999999999953,0.2863564212655271,0.082,0.38
1,LNDA_HP,washer,15.909801483154297,0.054,4.799999999999551,0.2569046515733026,0.066,0.45999999999999996
1,LNDA_STHP,washer,41.59375619888306,0.046,3.3999999999997197,0.2645751311064591,0.07,0.54
1,LNDA_SKANTHP,washer,41.390647649765015,0.02,1.7999999999998302,0.15491933384829668,0.024,0.8
1,LDA_HP,dishwasher,6.735331773757935,0.03,2.5999999999997603,0.19493588689617927,0.038,0.16666666666666663
1,LDA_STHP,dishwasher,28.50164222717285,0.03,2.5999999999997603,0.19493588689617927,0.038,0.16666666666666663
1,LDA_SKANTHP,dishwasher,26.366252660751343,0.016,1.3999999999998702,0.1414213562373095,0.02,0.5555555555555556
1,LNDA_HP,dishwasher,15.909801483154297,0.018,1.3999999999998802,0.161245154965971,0.026,0.5
1,LNDA_STHP,dishwasher,41.59375619888306,0.014,0.9999999999999201,0.14832396974191325,0.022,0.6111111111111112
1,LNDA_SKANTHP,dishwasher,41.390647649765015,0.018,1.5999999999998502,0.14832396974191325,0.022,0.5
